d90e5bc9f95dc7eb,  Wed Jun 08:07:19  33.03401030151568 -97.27985312826375 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 15 , -144.9712616098592
d90e5bc9f95dc7eb,  Wed Jun 08:07:24  33.03460585329025 -97.2794975080957 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 15 , -163.73714594022377
d90e5bc9f95dc7eb,  Wed Jun 08:07:29  33.0352537927151 -97.27927204447354 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 15 , -163.73714594022377
d90e5bc9f95dc7eb,  Wed Jun 08:07:34  33.035901732139955 -97.27904657919338 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 15 , -163.73714594022377
d90e5bc9f95dc7eb,  Wed Jun 08:07:39  33.03655200149992 -97.27883125244458 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 15 , -165.60782855865585
d90e5bc9f95dc7eb,  Wed Jun 08:07:44  33.03720576576256 -97.27863113444309 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 15 , -165.60782855865585
d90e5bc9f95dc7eb,  Wed Jun 08:07:49  33.03786370883602 -97.2784757399531 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 15 , 178.32706502937165
d90e5bc9f95dc7eb,  Wed Jun 08:07:54  33.0385381109085 -97.27850315771018 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 15 , 172.73901282946832
d90e5bc9f95dc7eb,  Wed Jun 08:07:59  33.03920432466372 -97.2786238029656 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 15 , 163.57510115555792
d90e5bc9f95dc7eb,  Wed Jun 08:08:04  33.0398152380946 -97.27894285630504 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 15 , 145.4909351542612
d90e5bc9f95dc7eb,  Wed Jun 08:08:09  33.040309016490724 -97.2794876822406 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 15 , 134.48832451842594
d90e5bc9f95dc7eb,  Wed Jun 08:08:14  33.04050688692409 -97.28024714141819 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 15 , 93.90993426817919
d90e5bc9f95dc7eb,  Wed Jun 08:08:19  33.04052955828382 -97.28104909479616 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 15 , 80.6498439275151
d90e5bc9f95dc7eb,  Wed Jun 08:08:24  33.04026709519995 -97.28177965366119 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 15 , 65.71785226609505
d90e5bc9f95dc7eb,  Wed Jun 08:08:29  33.03986501903525 -97.28239704387131 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 15 , 27.257550145170768
d90e5bc9f95dc7eb,  Wed Jun 08:08:34  33.03930017126866 -97.28290006542453 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 17 , 46.97955871902017
d90e5bc9f95dc7eb,  Wed Jun 08:08:39  33.038752273796405 -97.28353378937048 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 17 , 38.793115768176214
d90e5bc9f95dc7eb,  Wed Jun 08:08:44  33.038090162567805 -97.28396760958145 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 17 , 20.59839861197722
d90e5bc9f95dc7eb,  Wed Jun 08:08:49  33.03736907618168 -97.28427027769155 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 17 , 15.74480252088089
d90e5bc9f95dc7eb,  Wed Jun 08:08:54  33.03663283799106 -97.28451787875085 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 17 , 15.74480252088089
d90e5bc9f95dc7eb,  Wed Jun 08:08:59  33.03588273212935 -97.28463175194199 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 17 , -5.2119012489655425
d90e5bc9f95dc7eb,  Wed Jun 08:09:04  33.03513434486189 -97.28448338655954 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 17 , -22.202751964106554
d90e5bc9f95dc7eb,  Wed Jun 08:09:09  33.03441806632683 -97.28444537215512 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 17 , -29.169368734571385
d90e5bc9f95dc7eb,  Wed Jun 08:09:14  33.033738186438576 -97.28402902291553 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 17 , -24.184176429826756
d90e5bc9f95dc7eb,  Wed Jun 08:09:19  33.033104386299875 -97.28353204891906 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 17 , -39.395526627769506
d90e5bc9f95dc7eb,  Wed Jun 08:09:24  33.03276769595692 -97.28272826571121 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 17 , -67.57622881322472
d90e5bc9f95dc7eb,  Wed Jun 08:09:29  33.03272974059841 -97.28182592397971 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 17 , -108.22706369970754
d90e5bc9f95dc7eb,  Wed Jun 08:09:34  33.033024907592264 -97.28098892212827 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 17 , -119.70271190061511
d90e5bc9f95dc7eb,  Wed Jun 08:09:39  33.033483562567454 -97.28026850908009 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 17 , -134.72414035417833
d90e5bc9f95dc7eb,  Wed Jun 08:09:44  33.03408672034951 -97.27971646973819 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 17 , -147.6767526329216
d90e5bc9f95dc7eb,  Wed Jun 08:09:49  33.03479963844486 -97.2794242721605 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 17 , -168.18453362756574
d90e5bc9f95dc7eb,  Wed Jun 08:09:54  33.03554836984238 -97.27923743891036 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 17 , -168.18453362756574
d90e5bc9f95dc7eb,  Wed Jun 08:09:59  33.0362971012399 -97.27905060407252 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 17 , -160.62146270032383
d90e5bc9f95dc7eb,  Wed Jun 08:10:04  33.0370187039802 -97.27874784139189 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 17 , -160.62146270032383
d90e5bc9f95dc7eb,  Wed Jun 08:10:09  33.037742353195405 -97.27845659837072 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 17 , -175.4539192786902
d90e5bc9f95dc7eb,  Wed Jun 08:10:14  33.03850488543379 -97.2783842744891 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 17 , 162.6395665272502
d90e5bc9f95dc7eb,  Wed Jun 08:10:19  33.039235648904175 -97.27865391733214 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 17 , 163.50156608948132
d90e5bc9f95dc7eb,  Wed Jun 08:10:24  33.039877816606726 -97.27910002700017 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 17 , 133.94171104556403
d90e5bc9f95dc7eb,  Wed Jun 08:10:29  33.04033421513683 -97.27981431588036 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 17 , 111.69480885487756
d90e5bc9f95dc7eb,  Wed Jun 08:10:34  33.0405061026742 -97.28069080519263 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 17 , 92.72488763236363
d90e5bc9f95dc7eb,  Wed Jun 08:10:39  33.040400337335235 -97.2815825125737 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 17 , 69.85573366833891
d90e5bc9f95dc7eb,  Wed Jun 08:10:44  33.04001002037902 -97.28236051803604 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 17 , 51.210273180468754
d90e5bc9f95dc7eb,  Wed Jun 08:10:49  33.03954212487243 -97.28285859420411 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 7 , 30.640305418754227
d90e5bc9f95dc7eb,  Wed Jun 08:10:54  33.03927112567978 -97.28305008497941 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 7 , 30.640305418754227
d90e5bc9f95dc7eb,  Wed Jun 08:10:59  33.03900012648713 -97.28324157516565 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 7 , 30.640305418754227
d90e5bc9f95dc7eb,  Wed Jun 08:11:04  33.03876108373805 -97.28348350339407 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 7 , 43.522206081815135
d90e5bc9f95dc7eb,  Wed Jun 08:11:09  33.03853269313683 -97.28374224383903 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 7 , 43.522206081815135
d90e5bc9f95dc7eb,  Wed Jun 08:11:14  33.03825238821344 -97.28390360796774 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 7 , 21.387840953245522
d90e5bc9f95dc7eb,  Wed Jun 08:11:19  33.0379591047095 -97.28404062770751 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 7 , 21.387840953245522
d90e5bc9f95dc7eb,  Wed Jun 08:11:24  33.037665821205564 -97.28417764699111 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 7 , 21.387840953245522
d90e5bc9f95dc7eb,  Wed Jun 08:11:29  33.03736343593175 -97.28427809160081 STOPPED, Cristian Almendariz, 8 Walnut, 6.0, 7 , 11.679701342426645
